Product ID,Product Name,Division,Sales,Units,Cost,Gross_Profit,Gross_Margin_Pct,Profit_Per_Unit,Revenue_Contribution_Pct,Profit_Contribution_Pct,Margin_Volatility_StdDev,Transactions,Flag_Margin_Risk,Flag_Low_Margin_Overall,Flag_High_Efficiency
CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,27648.75,7373,9584.9,18063.85,65.33,2.45,19.99,19.83,0.0,1944,False,False,False
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,27028.8,7508,8258.8,18770.0,69.44,2.5,19.55,20.61,0.0,1994,False,False,True
CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,26256.75,8079,9210.06,17046.69,64.92,2.11,18.99,18.72,0.0,2074,False,False,False
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Chocolate,24361.2,6767,8120.4,16240.8,66.67,2.4,17.62,17.83,0.0,1771,False,False,False
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,22897.89,6561,6561.0,16336.89,71.35,2.49,16.56,17.94,0.0,1748,False,False,True
OTH-LIC-15000,Lickable Wallpaper,Other,7860.0,393,3930.0,3930.0,50.0,10.0,5.68,4.32,0.0,94,True,False,False
OTH-KAZ-38000,Kazookles,Other,1205.75,371,1113.0,92.75,7.69,0.25,0.87,0.1,0.0,96,True,True,False
OTH-GUM-21000,Wonka Gum,Other,597.5,478,286.8,310.7,52.0,0.65,0.43,0.34,0.0,120,True,False,False
SUG-EVE-47000,Everlasting Gobstopper,Sugar,130.0,13,26.0,104.0,80.0,8.0,0.09,0.11,0.0,3,False,False,False
OTH-FIZ-56000,Fizzy Lifting Drinks,Sugar,78.75,21,31.5,47.25,60.0,2.25,0.06,0.05,0.0,6,False,False,False
SUG-HAI-55000,Hair Toffee,Sugar,76.5,17,17.0,59.5,77.78,3.5,0.06,0.07,0.0,4,False,False,False
SUG-SWE-91000,SweeTARTS,Sugar,61.5,41,32.8,28.7,46.67,0.7,0.04,0.03,0.0,10,False,True,False
SUG-LAF-25000,Laffy Taffy,Sugar,53.73,27,20.25,33.48,62.31,1.24,0.04,0.04,0.0,10,False,False,False
SUG-NER-92000,Nerds,Sugar,15.0,10,8.0,7.0,46.67,0.7,0.01,0.01,0.0,4,False,True,False
SUG-FUN-75000,Fun Dip,Sugar,12.0,8,7.2,4.8,40.0,0.6,0.01,0.01,0.0,3,False,True,False
